course_id,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
C001,1,"What is the output of the following Python code? print(type(10/3))","<class 'int'>","<class 'float'>","<class 'complex'>","<class 'str'>",B
C001,2,"Which of the following correctly implements method overloading in Python?","Using @overload decorator","Defining multiple methods with same name","Using default arguments and *args","Python doesn't support overloading",C
C001,3,"What is the time complexity of accessing an element in a Python list by index?",O(1),O(n),O(log n),O(n^2),A
C001,4,"Which of the following is a mutable data type in Python?",Tuple,String,Frozenset,List,D
C001,5,"What is the purpose of the __slots__ attribute in Python classes?","To restrict attribute creation","To create class variables","To define static methods","To create private methods",A
C001,6,"What is the difference between deep copy and shallow copy?","Deep copy copies nested objects, shallow copy does not","Shallow copy copies nested objects, deep copy does not","Both are same","Neither copies nested objects",A
C001,7,"What is a decorator in Python?","Function that modifies another function","Class that inherits from another","A design pattern","A type of variable",A
C001,8,"What is the Global Interpreter Lock (GIL) in Python?","Allows only one thread to execute Python bytecode at a time","Prevents memory leaks","Manages garbage collection","Handles imports",A
C001,9,"What is the purpose of the yield keyword?","Creates a generator function","Returns a value","Terminates a function","Raises an exception",A
C001,10,"What is the time complexity of inserting an element at the beginning of a Python list?",O(1),O(n),O(log n),O(n^2),B
C002,1,"What is the worst-case time complexity of QuickSort with poor pivot selection?",O(n log n),O(n^2),O(n),O(log n),B
C002,2,"Which data structure would be most efficient for implementing a priority queue?",Array,"Linked List",Heap,Stack,C
C002,3,"What is the space complexity of Merge Sort?",O(1),O(log n),O(n),O(n^2),C
C002,4,"In a Red-Black Tree, what color is the root node?",Red,Black,Blue,Green,B
C002,5,"What is the main advantage of a B-Tree over a Binary Search Tree?","Faster search","Handles large blocks of data","Less memory usage","Easier implementation",B
C002,6,"What is the time complexity of searching in a balanced Binary Search Tree?",O(1),O(log n),O(n),O(n log n),B
C002,7,"What is a hash table collision?","Two keys mapping to same index","Table overflow","Memory error","Key not found",A
C002,8,"What is the time complexity of Dijkstra's algorithm using a binary heap?",O(V^2),O(E log V),O(V log V),O(E + V),B
C002,9,"What is the difference between a stack and a queue?","LIFO vs FIFO","FIFO vs LIFO","Both are same","Neither uses order",A
C002,10,"What is the time complexity of finding the median in an unsorted array?",O(1),O(n),O(n log n),O(n^2),B
C003,1,"What is the fundamental difference between L1 and L2 regularization?","L1 produces sparse solutions, L2 does not","L2 produces sparse solutions, L1 does not","Both produce sparse solutions","Neither produces sparse solutions",A
C003,2,"What problem does the vanishing gradient cause in deep neural networks?","Slow learning in early layers",Overfitting,Underfitting,"Memory overflow",A
C003,3,"Which algorithm is most robust to outliers in regression tasks?","Linear Regression","Ridge Regression","Lasso Regression","Huber Regression",D
C003,4,"What is the kernel trick in SVM?","Mapping data to higher dimensions","Reducing dimensions","Speeding up computation","Handling missing data",A
C003,5,"What does the Attention mechanism solve in Transformer models?","Long-range dependencies","Memory issues","Training speed",Overfitting,A
C003,6,"What is the difference between bagging and boosting?","Bagging reduces variance, boosting reduces bias","Boosting reduces variance, bagging reduces bias","Both reduce variance","Both reduce bias",A
C003,7,"What is the purpose of dropout in neural networks?","Prevent overfitting","Increase training speed","Add more layers","Reduce memory usage",A
C003,8,"What is the curse of dimensionality?","Data becomes sparse in high dimensions","Models train faster","More data is better","Features are independent",A
C003,9,"What is the difference between generative and discriminative models?","Generative learns joint distribution, discriminative learns conditional","Discriminative is always better","Generative is always faster","Both are the same",A
C003,10,"What is the purpose of batch normalization?","Normalize layer inputs","Add regularization","Increase learning rate","Reduce model size",A
C004,1,"What is the difference between '==' and '===' in JavaScript?","Value comparison only","Value and type comparison","Type comparison only","Reference comparison",B
C004,2,"What is the purpose of the virtual DOM in React?","Improve performance","Style components","Handle routing","Manage state",A
C004,3,"Which HTTP status code indicates a successful POST request?",200,201,202,204,B
C004,4,"What is CORS in web development?","Cross-Origin Resource Sharing","Cache Optimization","Code Organization","Content Security",A
C004,5,"What is the main advantage of GraphQL over REST?","Client specifies exact data needed","Better caching","Easier to implement","More secure",A
C004,6,"What is the purpose of the useEffect hook in React?","Perform side effects","Manage state","Create components","Handle routing",A
C004,7,"What is the difference between let, const, and var in JavaScript?","Block scope vs function scope","Hoisting differences","Reassignment rules","All of the above",D
C004,8,"What is event delegation in JavaScript?","Parent handling events for children","Child handling events for parent","Direct event binding","Synchronous events",A
C004,9,"What is the purpose of Redux?","State management","UI components",Styling,"API calls",A
C004,10,"What is the difference between cookies, localStorage, and sessionStorage?","Storage size and expiration","Data types","Access methods","Security levels",A
C005,1,"What is the difference between DELETE and TRUNCATE in SQL?","DELETE removes rows, TRUNCATE removes table","DELETE can use WHERE, TRUNCATE cannot","Both are same","TRUNCATE is faster than DELETE",B
C005,2,"What is the purpose of database indexing?","Speed up queries","Store more data","Improve security","Backup data",A
C005,3,"Which isolation level prevents dirty reads?","Read Uncommitted","Read Committed","Repeatable Read",Serializable,B
C005,4,"What is a deadlock in databases?","Two transactions waiting for each other","A transaction crashing","Index corruption","Data duplication",A
C005,5,"What does ACID stand for?","Atomicity, Consistency, Isolation, Durability","Accuracy, Consistency, Integrity, Durability","Atomicity, Concurrency, Isolation, Durability","Accuracy, Consistency, Isolation, Durability",A
C005,6,"What is a foreign key?","References primary key of another table","Unique identifier","Primary key",Index,A
C005,7,"What is the difference between INNER JOIN and LEFT JOIN?","INNER returns matches only, LEFT returns all from left","LEFT returns matches only, INNER returns all from left","Both are same","Neither returns matches",A
C005,8,"What is database normalization?","Reducing redundancy and dependency","Increasing speed","Adding more tables","Creating indexes",A
C005,9,"What is a view in SQL?","Virtual table based on query","Physical table",Index,"Stored procedure",A
C005,10,"What is the difference between clustered and non-clustered index?","Clustered determines physical order, non-clustered does not","Non-clustered determines physical order, clustered does not","Both determine physical order","Neither determines physical order",A
C006,1,"What is the rank of a matrix?","Number of linearly independent rows","Number of columns","Determinant value","Trace of matrix",A
C006,2,"What is an eigenvalue?","Scalar λ where Ax = λx","Determinant of matrix","Trace of matrix","Inverse of matrix",A
C006,3,"What is the condition for a matrix to be diagonalizable?","It has n linearly independent eigenvectors","It is symmetric","It is invertible","It has non-zero determinant",A
C006,4,"What does the Singular Value Decomposition (SVD) do?","Factors matrix into UΣV^T","Computes eigenvalues","Calculates determinant","Finds inverse",A
C006,5,"What is the gradient of a function?","Vector of partial derivatives","Derivative of function","Rate of change","Slope of tangent",A
C006,6,"What is the Hessian matrix?","Matrix of second derivatives","Matrix of first derivatives","Gradient vector","Jacobian matrix",A
C006,7,"What is the trace of a matrix?","Sum of diagonal elements","Product of diagonal elements",Determinant,Rank,A
C006,8,"What is the condition for a matrix to be positive definite?","All eigenvalues > 0","All eigenvalues < 0","Determinant > 0","Trace > 0",A
C006,9,"What is the null space of a matrix?","Set of vectors where Ax = 0","Set of vectors where Ax = b","Column space","Row space",A
C006,10,"What is the relationship between eigenvalues and determinant?","Product of eigenvalues = determinant","Sum of eigenvalues = determinant","Eigenvalues are determinant","No relationship",A
C007,1,"What is the Central Limit Theorem?","Sampling distribution approaches normal","Mean equals median","Data is symmetric","Variance is constant",A
C007,2,"What is p-value in hypothesis testing?","Probability of observed data given null hypothesis","Probability of null hypothesis","Effect size","Sample size",A
C007,3,"What is the difference between Type I and Type II errors?","False positive vs False negative","False negative vs False positive","Type I is more serious","Type II is more serious",A
C007,4,"What does R-squared measure in regression?","Proportion of variance explained","Correlation coefficient","Prediction accuracy","Model complexity",A
C007,5,"What is the purpose of A/B testing?","Compare two versions","Measure absolute performance","Calculate sample size","Determine causality",A
C007,6,"What is the difference between correlation and causation?","Correlation does not imply causation","Causation does not imply correlation","Both are same","Neither are related",A
C007,7,"What is a confidence interval?","Range of values containing population parameter","Single point estimate","Standard deviation",Variance,A
C007,8,"What is the difference between parametric and non-parametric tests?","Parametric assumes distribution, non-parametric does not","Non-parametric assumes distribution, parametric does not","Both assume distribution","Neither assumes distribution",A
C007,9,"What is the purpose of ANOVA?","Compare means of multiple groups","Compare two groups","Measure correlation","Calculate variance",A
C007,10,"What is the difference between standard deviation and standard error?","SD measures spread, SE measures estimate precision","SE measures spread, SD measures estimate precision","Both measure spread","Both measure precision",A
C008,1,"What is the difference between combinational and sequential logic?","No memory vs has memory","Uses AND gates vs OR gates","Faster vs slower","Analog vs digital",A
C008,2,"What is a flip-flop?","1-bit memory cell","Logic gate","Clock signal","Power supply",A
C008,3,"What is setup time in sequential circuits?","Minimum time before clock edge","Maximum frequency","Propagation delay","Clock period",A
C008,4,"What does a multiplexer do?","Selects one input from many","Splits one input to many","Performs arithmetic","Stores data",A
C008,5,"What is clock skew?","Difference in clock arrival times","Clock frequency","Clock period","Signal delay",A
C008,6,"What is a latch?","Level-sensitive memory element","Edge-sensitive memory element","Combinational circuit","Arithmetic unit",A
C008,7,"What is the difference between synchronous and asynchronous circuits?","Synchronous uses clock, asynchronous does not","Asynchronous uses clock, synchronous does not","Both use clock","Neither uses clock",A
C008,8,"What is a finite state machine?","Model of computation with states","Infinite loop","Memory unit",Processor,A
C008,9,"What is the difference between Mealy and Moore machines?","Mealy output depends on state and input, Moore on state only","Moore output depends on state and input, Mealy on state only","Both depend on input only","Both depend on state only",A
C008,10,"What is the purpose of a clock signal?","Synchronize operations","Provide power","Generate heat","Store data",A
C009,1,"What is the difference between a robot and a manipulator?","Robot has autonomy, manipulator does not","Manipulator has autonomy, robot does not","Both are same","Rubber vs metal",A
C009,2,"What is inverse kinematics?","Computing joint angles from end position","Computing end position from joint angles","Forward motion","Backward motion",A
C009,3,"What is a PID controller?","Proportional-Integral-Derivative controller","Programmable Interface Device","Parallel Input Device","Power Integration Device",A
C009,4,"What is ROS in robotics?","Robot Operating System","Remote Operating System","Real-time OS","Robotic Output System",A
C009,5,"What is simultaneous localization and mapping (SLAM)?","Building map while tracking position","Navigating with GPS","Following a path","Avoiding obstacles",A
C009,6,"What is the difference between a degree of freedom (DOF) and a joint?","DOF is number of independent movements, joint is connection","DOF is connection, joint is movement","Both are same","Neither is related",A
C009,7,"What is a Jacobian matrix in robotics?","Relates joint velocities to end-effector velocity","Relates forces to torques","Calculates inverse kinematics","Determines workspace",A
C009,8,"What is the difference between path planning and trajectory planning?","Path is geometric, trajectory includes time","Trajectory is geometric, path includes time","Both are same","Neither is related",A
C009,9,"What is a haptic device?","Provides force feedback to user","Measures temperature","Detects light","Emits sound",A
C009,10,"What is the purpose of a Kalman filter?","Estimate state from noisy measurements","Filter images","Control motors","Plan paths",A
C010,1,"What is the difference between artificial intelligence and machine learning?","ML is subset of AI","AI is subset of ML","Both are same","Neither is related",A
C010,2,"What is the vanishing gradient problem?","Gradients become very small in deep networks","Gradients explode","Data loss","Memory overflow",A
C010,3,"What is the purpose of batch normalization?","Normalize layer inputs","Reduce overfitting","Increase learning rate","Add regularization",A
C010,4,"What is the difference between generative and discriminative models?","Generative models learn joint distribution, discriminative learn conditional","Discriminative models are always better","Generative models are faster","Both are same",A
C010,5,"What is the Transformer architecture based on?","Self-attention mechanism","Recurrent neural networks","Convolutional networks","Memory networks",A
C010,6,"What is the difference between supervised and unsupervised learning?","Supervised has labels, unsupervised does not","Unsupervised has labels, supervised does not","Both have labels","Neither has labels",A
C010,7,"What is reinforcement learning?","Learning from rewards and punishments","Learning from labeled data","Learning from unlabeled data","Learning from examples",A
C010,8,"What is the exploration-exploitation trade-off?","Try new actions vs use known good ones","Explore data vs exploit models","Learn fast vs learn accurate","Train vs test",A
C010,9,"What is a convolutional neural network (CNN)?","Neural network for grid-like data","Network for sequences","Network for graphs","Network for trees",A
C010,10,"What is the purpose of a loss function?","Measure model performance","Optimize parameters","Initialize weights","Regularize model",A